Date,Used,Assigned,Allocated,ARINCount,pct
2014-02-25,57080,66504,87639,100124,0.3819427490234375
2014-03-21,57591,67403,88374,100904,0.384918212890625
2014-03-28,57704,67667,88626,101115,0.3857231140136719
2014-04-04,57933,68024,88985,101252,0.3862457275390625
2014-04-11,58129,68320,89211,101618,0.38764190673828125
2014-04-18,58335,68682,89417,102171,0.3897514343261719
2014-04-23,58495,68941,89607,102288,0.39019775390625
2014-04-25,58528,68981,89631,102306,0.39026641845703125
2014-05-02,58967,69540,90141,102668,0.3916473388671875
2014-05-09,59222,69958,90527,102795,0.3921318054199219
2014-05-16,59508,70362,90820,103501,0.3948249816894531
2014-05-23,59674,70604,90914,103582,0.39513397216796875
2014-05-30,60758,71871,92158,104060,0.3969573974609375
2014-06-06,61153,72336,92467,104504,0.398651123046875
2014-06-13,61647,72847,92867,104913,0.4002113342285156
2014-06-20,62108,73352,93320,105721,0.4032936096191406
2014-06-27,63082,74410,94332,106204,0.4051361083984375
2014-07-04,63652,75102,95058,106518,0.40633392333984375
2014-07-11,64197,75671,95371,107029,0.4082832336425781
2014-07-18,64668,76220,95796,107283,0.4092521667480469
2014-07-25,65039,76697,96042,107539,0.4102287292480469
2014-08-01,65680,77539,96837,108943,0.4155845642089844
2014-08-08,66481,78422,97272,109925,0.4193305969238281
2014-08-15,67135,79193,97309,110631,0.4220237731933594
2014-08-22,67118,79231,97028,110125,0.4200935363769531
2014-08-29,67764,79920,97739,110705,0.4223060607910156
2014-09-05,67975,80219,98019,110864,0.42291259765625
2014-09-12,68219,80563,98403,111207,0.4242210388183594
2014-09-19,68263,80687,98604,111937,0.4270057678222656
2014-09-26,68550,81107,99009,112562,0.42938995361328125
2014-10-03,69059,81703,99467,112455,0.4289817810058594
2014-10-10,69446,82084,99782,112535,0.4292869567871094
2014-10-17,69716,82342,99897,112547,0.4293327331542969
2014-10-24,70064,82838,100311,112585,0.4294776916503906
2014-10-31,70249,83084,100541,112747,0.4300956726074219
2014-11-07,70598,83569,100920,112771,0.4301872253417969
2014-11-14,69922,82996,100380,113422,0.43267059326171875
2014-11-21,70798,83973,101331,115635,0.4411125183105469
