Time,In Bit Rate,Out Bit Rate
27.Apr 00:00,906557.04,897566.61
27.Apr 00:05,1154312.59,1143517.33
27.Apr 00:10,889370,878806.51
27.Apr 00:15,861454.64,851530.61
27.Apr 00:20,1048576.75,1040241.89
27.Apr 00:25,824332.48,816384.16
27.Apr 00:30,880465.68,871296.43
27.Apr 00:35,1069879.12,1061179.76
27.Apr 00:40,796703.52,788378.93
27.Apr 00:45,820372.93,812413.12
27.Apr 00:50,912574.05,903701.25
27.Apr 00:55,895028.56,886211.87
27.Apr 01:00,910936.72,901699.57
27.Apr 01:05,1096243.73,1086317.87
27.Apr 01:10,832703.87,823177.17
27.Apr 01:15,834994.64,826508.96
27.Apr 01:20,1011956.99,1003479.41
27.Apr 01:25,838633.12,829734.59
27.Apr 01:30,792993.65,784983.63
27.Apr 01:35,1232578.27,1223299.2
27.Apr 01:40,805276.24,797652.93
27.Apr 01:45,789065.97,781669.41
27.Apr 01:50,1093600.53,1086170.53
27.Apr 01:55,766855.57,759610.75
27.Apr 02:00,790619.41,782808.05
27.Apr 02:05,993814.75,983571.2
27.Apr 02:10,841565.33,831417.15
27.Apr 02:15,1039802.51,1031084.16
27.Apr 02:20,1085145.31,1076442.51
27.Apr 02:25,797201.73,788991.31
27.Apr 02:30,751714.96,744564.72
27.Apr 02:35,900054.19,892388.19
27.Apr 02:40,741915.31,734275.49
27.Apr 02:45,746414.35,739503.28
27.Apr 02:50,829835.09,821961.55
27.Apr 02:55,773539.6,765820.77
27.Apr 03:00,877839.41,869314.69
27.Apr 03:05,1245534.35,1236993.84
27.Apr 03:10,1243560.67,1234289.15
27.Apr 03:15,3135871.52,3121886.35
27.Apr 03:20,1167891.33,1158447.52
27.Apr 03:25,2725820.69,2717537.44
27.Apr 03:30,848847.79,840718.91
27.Apr 03:35,813682.51,805977.84
27.Apr 03:40,790597.15,782199.65
27.Apr 03:45,799111.81,792162.16
27.Apr 03:50,1418074.64,1409316.8
27.Apr 03:55,830020.61,821735.57
27.Apr 04:00,873612,1279330.75
27.Apr 04:05,1082328.69,1074293.25
27.Apr 04:10,765779.31,758658.75
27.Apr 04:15,792848.69,785541.25
27.Apr 04:20,872898.32,865754.21
27.Apr 04:25,789265.28,780810.93
27.Apr 04:30,767437.28,758964.35
27.Apr 04:35,3075527.55,3068493.44
27.Apr 04:40,742299.17,733569.79
27.Apr 04:45,852508.99,843794.21
27.Apr 04:50,889863.68,881458.93
27.Apr 04:55,2292342.43,2284435.31
27.Apr 05:00,1215459.79,1206576.16
27.Apr 05:05,1374129.81,1364634.88
27.Apr 05:10,962723.68,951299.95
27.Apr 05:15,926132.03,916680.91
27.Apr 05:20,1543383.87,1533110.72
27.Apr 05:25,2761253.68,2750551.47
27.Apr 05:30,960184.77,949640.35
27.Apr 05:35,1307069.68,1297403.92
27.Apr 05:40,863971.28,855097.25
27.Apr 05:45,837423.07,828616.61
27.Apr 05:50,1174500.45,1165570.72
27.Apr 05:55,813503.71,805510.27
27.Apr 06:00,736515.79,729140.43
27.Apr 06:05,956931.68,948958.61
27.Apr 06:10,867428.35,859000.91
27.Apr 06:15,848311.71,839821.25
27.Apr 06:20,1190836.32,1181862.99
27.Apr 06:25,1006655.71,998382.88
27.Apr 06:30,877586.21,869959.2
27.Apr 06:35,2532099.65,2523344.24
27.Apr 06:40,953887.97,945759.6
27.Apr 06:45,827376.48,819046.13
27.Apr 06:50,1607529.76,1598129.49
27.Apr 06:55,1181516.37,1172370.43
27.Apr 07:00,807264.59,798936.11
27.Apr 07:05,1289391.09,1279544.11
27.Apr 07:10,3886665.25,3877739.17
27.Apr 07:15,971686.11,963158.85
27.Apr 07:20,1481737.28,1472419.39
27.Apr 07:25,1267416.91,1256246.35
27.Apr 07:30,931052.85,919666.08
27.Apr 07:35,1319037.68,1307010.13
27.Apr 07:40,1801064.61,1790044.21
27.Apr 07:45,924015.81,915436.11
27.Apr 07:50,1268120.83,1257775.23
27.Apr 07:55,1104972.77,1095295.89
27.Apr 08:00,941605.6,931777.97
27.Apr 08:05,1619560.11,1609356.93
27.Apr 08:10,988761.33,978814.93
27.Apr 08:15,1012958.11,1003070.48
27.Apr 08:20,1581020.24,1569851.55
27.Apr 08:25,1588232.64,1576446.8
27.Apr 08:30,1051719.97,1041243.12
27.Apr 08:35,1977913.41,1967699.2
27.Apr 08:40,3264017.95,3251964.93
27.Apr 08:45,1042508.13,1032596.35
27.Apr 08:50,1939505.15,1928592.51
27.Apr 08:55,1533564.99,1522317.09
27.Apr 09:00,1043641.31,1032620.21
27.Apr 09:05,1928031.12,1919221.07
27.Apr 09:10,2866526.27,2856070.4
27.Apr 09:15,1052489.73,1043900.37
27.Apr 09:20,1782904.53,1771970.16
27.Apr 09:25,1297103.12,1284649.15
27.Apr 09:30,1273169.15,1261251.95
27.Apr 09:35,1189928.32,1179836.69
27.Apr 09:40,986902.69,976704.59
27.Apr 09:45,1072110,1060676.91
27.Apr 09:50,1311407.33,1297785.49
27.Apr 09:55,915466.21,904773.2
27.Apr 10:00,1134462.77,1123557.41
27.Apr 10:05,1901219.52,1889940.88
27.Apr 10:10,1185039.41,1174446.48
27.Apr 10:15,1126141.89,1114780.48
27.Apr 10:20,1354843.01,1343086.83
27.Apr 10:25,1114574.13,1102541.71
27.Apr 10:30,1114265.95,1102791.81
27.Apr 10:35,1404985.92,1393585.39
27.Apr 10:40,1127485.47,1117054.75
27.Apr 10:45,1165892.48,1155633.44
27.Apr 10:50,1702047.73,1689646.99
27.Apr 10:55,1019985.15,1010134.91
27.Apr 11:00,5487906.8,5477145.87
27.Apr 11:05,3606887.49,3595199.84
27.Apr 11:10,1074253.04,1064397.33
27.Apr 11:15,1045777.76,1035611.92
27.Apr 11:20,1285169.39,1273444
27.Apr 11:25,2308201.49,2297882.43
27.Apr 11:30,1656013.68,1644817.23
27.Apr 11:35,1655918.93,1644671.28
27.Apr 11:40,1283554.8,1271494.43
